RegionID|RegionName|Coordinates
6046338|Fassa Valley, Italy (type 5)|46.49302;11.81120:46.51093;11.82891:46.52206;11.82394:46.53074;11.81197:46.50284;11.75944:46.51204;11.71388:46.48781;11.64332:46.42301;11.61807:46.40570;11.79700:46.40768;11.82553:46.41288;11.83953:46.43337;11.84995:46.44181;11.88961:46.46311;11.88612:46.47235;11.87620:46.47596;11.81610
6046341|Susa Valley, Italy (type 5)|45.12228;6.64129:45.12176;6.91692:45.04064;7.08997:44.88868;6.78009:44.93474;6.74289
6046355|Kunshan, Suzhou, China (type 1)|31.44292;120.82423:31.44351;121.14057:31.34983;121.12633:31.31933;121.15139:31.30246;121.14281:31.29219;121.14315:31.29322;121.15671:31.27635;121.16427:31.28167;120.82531
6046532|Jordaan, Amsterdam, Netherlands (type 1)|52.39883;4.87042:52.39900;4.87977:52.38151;4.89556:52.38102;4.89215:52.38118;4.89002:52.38013;4.88993:52.37901;4.88669:52.37458;4.88307:52.37380;4.88107:52.37037;4.87998:52.36945;4.88063:52.36906;4.87954:52.36758;4.87902:52.37292;4.87531:52.37159;4.86766:52.38935;4.86773:52.38941;4.87146
6046535|Dam Square - Central Station, Amsterdam, Netherlands (type 6)|52.37153;4.91226:52.37836;4.91168:52.37918;4.90436:52.38147;4.89797:52.38151;4.89555:52.38103;4.89212:52.38119;4.89002:52.38014;4.88992:52.37901;4.88682:52.37729;4.88557:52.37685;4.88741:52.37514;4.88778:52.37114;4.88872:52.36976;4.88869:52.36959;4.89307:52.36887;4.89372:52.36814;4.89864:52.36655;4.90062:52.36617;4.90083:52.36668;4.90593
6046536|Vondelpark, Amsterdam, Netherlands (type 7)|52.36270;4.87191:52.36170;4.86733:52.35833;4.85484:52.34923;4.85786:52.35488;4.88482:52.35556;4.87745:52.35769;4.87274:52.36000;4.87632:52.36161;4.87388:52.36247;4.87693:52.36363;4.87568:52.36231;4.87285
6046562|Mala Strana (Lesser Town), Prague, Czech Republic (type 1)|50.08954;14.41266:50.09197;14.41021:50.09172;14.38959:50.08940;14.38496:50.07816;14.40067:50.07963;14.41115
6046563|Stare Mesto (Old Town), Prague, Czech Republic (type 1)|50.08615;14.41277:50.08673;14.41474:50.08841;14.41539:50.08877;14.42486:50.08998;14.42385:50.09077;14.42501:50.09345;14.42406:50.09389;14.42961:50.08696;14.42930:50.08499;14.42593:50.08412;14.42449:50.08328;14.42150:50.08249;14.41986:50.08185;14.41644:50.08138;14.41295
6046564|Santa Croce, Venice, Italy (type 1)|45.43903;12.32002:45.44125;12.32295:45.44235;12.32752:45.44169;12.33143:45.44104;12.33277:45.43901;12.33114:45.43822;12.32352:45.43616;12.32266:45.43686;12.32055:45.43380;12.31682:45.43767;12.31463:45.44013;12.31733
6046566|Carnon-Plage, Mauguio, France (type 1)|43.54731;3.97048:43.54612;3.97082:43.54497;3.96977:43.53669;3.96922:43.54971;4.01719:43.56018;4.01308:43.54857;3.97289
6046615|Petit St. Vincent, St. Vincent and the Grenadines (type 3)|12.55167;-61.39683:12.55169;-61.37073:12.52894;-61.37072:12.52802;-61.39775
6046643|Sainte-Lucie-de-Porto-Vecchio, France (type 3)|41.70287;9.33756:41.69705;9.32732:41.69577;9.32694:41.69504;9.32735:41.69195;9.33203:41.69192;9.33243:41.68578;9.33620:41.68407;9.34239:41.68066;9.34376:41.68027;9.34377:41.68027;9.34235:41.67992;9.34166:41.67786;9.34133:41.67717;9.34201:41.67683;9.34441:41.67646;9.34480:41.67605;9.34420:41.67442;9.34420:41.67229;9.34275:41.66819;9.33832:41.65171;9.34347:41.63961;9.35115:41.63087;9.35730:41.63567;9.40681:41.71490;9.41105:41.71767;9.40184:41.71802;9.40039:41.71977;9.39938:41.72080;9.39938:41.72113;9.39838:41.72079;9.39737:41.72011;9.39634:41.72012;9.39526:41.72078;9.39422:41.72215;9.39388:41.72147;9.39182:41.72184;9.39043:41.72421;9.38738:41.72251;9.38536:41.72150;9.38469:41.72114;9.38393:41.72221;9.38356:41.72287;9.38425:41.72388;9.38287:41.72492;9.38219:41.72489;9.37985:41.72460;9.37953:41.72388;9.37989:41.72254;9.37644:41.72147;9.37505:41.72041;9.37474:41.72006;9.36885:41.72043;9.36775:41.72145;9.36775:41.72077;9.36614:41.71977;9.36549:41.71737;9.36680:41.71534;9.36611:41.71360;9.36683:41.71254;9.36612:41.71120;9.36645:41.70844;9.36613:41.70602;9.35818:41.70361;9.35648:41.70327;9.35275:41.70222;9.35165:41.70256;9.34993:41.70184;9.34514:41.70254;9.34259
6046672|Alcoceber, Alcala de Chivert, Spain (type 1)|40.25318;0.26871:40.26722;0.29206:40.25598;0.30013:40.19896;0.25867:40.21213;0.24995
6046776|High Tatras, Slovakia (type 5)|49.12868;20.02969:49.32616;20.21474:49.21570;20.46850:49.02765;20.34320:49.02773;20.24634
6046823|Fatima, Portugal (type 3)|39.63856;-8.70217:39.65540;-8.65552:39.62109;-8.62186:39.59508;-8.56391:39.55155;-8.60810:39.53388;-8.63470:39.57459;-8.68520:39.59391;-8.68831:39.61456;-8.68697:39.62689;-8.69855
6046866|Bruges Center, Bruges, Belgium (type 2)|51.25079;3.19261:51.25086;3.24583:51.24695;3.25441:51.24006;3.26576:51.22613;3.27815:51.22400;3.28560:51.22672;3.29262:51.22169;3.30898:51.20900;3.30455:51.20487;3.29968:51.19769;3.28000:51.18231;3.28878:51.17926;3.27478:51.18683;3.26723:51.18248;3.24096:51.17712;3.22904:51.16903;3.21757:51.18636;3.16272:51.21682;3.14223:51.22367;3.17293:51.23811;3.16555
6046869|Beaune, France (type 3)|47.04574;4.79246:47.05030;4.79503:47.05278;4.80571:47.05094;4.82872:47.04118;4.84878:47.04016;4.85725:47.04216;4.86898:47.04048;4.88294:47.03568;4.88060:47.03272;4.87391:47.02801;4.87004:47.02666;4.86405:47.02410;4.86510:47.02258;4.86229:47.02202;4.85937:47.02049;4.85854:47.01882;4.87800:47.01690;4.87672:47.01234;4.89302:47.00146;4.89700:46.99490;4.89300:47.00506;4.86187:47.00445;4.86001:47.00138;4.85704:46.99806;4.85277:47.00272;4.83436:47.00079;4.83272:47.00456;4.82170:47.00983;4.81829:47.02414;4.79318:47.04278;4.78658
6046954|Ko Chang, Thailand (type 3)|12.18500;102.14470:12.18500;102.26420:12.14470;102.36790:11.92510;102.54230:11.86060;102.44270:11.85190;102.32120:11.97010;102.19890
6047049|Vava'u, Tonga (type 5)|-18.83427;-174.03881:-18.82589;-173.84664:-18.54847;-173.85258:-18.51435;-174.03927:-18.71411;-174.18525:-18.71589;-174.18617
6047133|Krk Island, Croatia (type 5)|45.05772;14.41661:44.99420;14.53352:44.92229;14.74789:44.97376;14.83974:45.15770;14.67785:45.19362;14.62549:45.21677;14.60709:45.23096;14.60730:45.24451;14.58445:45.24607;14.57168:45.25364;14.57055:45.26073;14.56225:45.13949;14.41502
6047142|Gourette, Eaux-Bonnes, France (type 7)|42.97795;-0.36688:42.93511;-0.36685:42.93490;-0.29798:42.97815;-0.29823
6047143|La Baule, France (type 3)|47.34302;-2.56454:47.36668;-2.49786:47.34536;-2.48109:47.34485;-2.29558:47.31223;-2.29358:47.27924;-2.32132:47.25280;-2.28871:47.22026;-2.28754:47.22016;-2.56418
6047268|Kallithea, Rhodes, Greece (type 1)|36.39244;28.19820:36.40632;28.19933:36.40595;28.25177:36.38434;28.25593:36.36388;28.23314:36.37208;28.18344
6047338|Skala, Eleios-Pronnoi, Greece (type 1)|38.11623;20.76166:38.11646;20.81614:38.05802;20.81555:38.05803;20.76100
6047358|Xonrupt-Longemer, France (type 3)|48.09640;6.90025:48.09838;6.90527:48.09882;6.90987:48.09439;6.92028:48.09629;6.92346:48.09752;6.93214:48.10355;6.93151:48.09658;6.95145:48.09013;6.95829:48.08764;6.97417:48.08368;6.98399:48.06682;6.99580:48.05454;7.00109:48.05527;7.01898:48.04217;7.01009:48.04270;6.98428:48.05216;6.97292:48.05821;6.93760:48.05662;6.93027:48.05857;6.92703:48.05827;6.91915:48.05585;6.91300:48.05755;6.91133:48.05964;6.91101:48.06228;6.91230:48.06794;6.90679:48.07020;6.90815:48.07103;6.90593:48.07526;6.90502:48.07882;6.91478:48.08368;6.90771:48.08844;6.89730
6047418|Darling Harbour - Pyrmont, Sydney, New South Wales, Australia (type 6)|-33.86794;151.18612:-33.86229;151.19039:-33.86088;151.19773:-33.86530;151.19979:-33.86512;151.20372:-33.86879;151.20410:-33.87284;151.20456:-33.87768;151.20522:-33.87906;151.20546:-33.87963;151.20526:-33.87954;151.20456:-33.88014;151.20410:-33.88159;151.20078:-33.87785;151.19863:-33.87494;151.19698:-33.87609;151.19396:-33.87393;151.19011:-33.87038;151.18565
