AirportID|AirportCode|AirportName|Latitude|Longitude|MainCityID|CountryCode
6033113|WIN|Winton, QLD, Australia (WIN)|-22.364364|143.084908||AU
6033115|WIO|Wilcannia, NSW, Australia (WIO)|-31.520020|143.384972||AU
6033117|WIU|Witu, Papua New Guinea (WIU)|-4.694142|149.445648||PG
6033119|WJA|Woja, Marshall Islands (WJA)|7.451837|168.551559||MH
6033121|WJF|Palmdale, CA, United States (WJF)|34.619840|-118.081460|6056584|US
6033123|WJR|Wajir, Kenya (WJR)|1.733325|40.086749||KE
6033125|WKA|Wanaka, New Zealand (WKA)|-44.724235|169.245243|3792|NZ
6033127|WKB|Warracknabeal, VIC, Australia (WKB)|-36.320934|142.413540||AU
6033129|WKJ|Wakkanai, Japan (WKJ)|45.399535|141.797619|3793|JP
6033131|WKK|Aleknagik, AK, United States (WKK)|59.279800|-158.618000||US
6033133|WKL|Waikoloa, HI, United States (WKL-Waikoloa Heliport)|19.920775|-155.860012||US
6033135|WKN|Wakunai, Papua New Guinea (WKN)|-5.860744|155.221882||PG
6033137|WKR|Walker's Cay, Bahamas (WKR)|27.226690|-78.340642||BS
6033141|WLK|Selawik, AK, United States (WLK)|66.600400|-159.996000||US
6033143|WLL|Wollogorang, NT, Australia (WLL)|-17.218691|137.938843||AU
6033147|WMA|Mandritsara, Madagascar (WMA)|-15.864300|48.839200||MG
6033149|WMB|Warrnambool, VIC, Australia (WMB)|-38.299502|142.450619|10419|AU
6033151|WMC|Winnemucca, NV, United States (WMC-Winnemucca Municipal)|40.904990|-117.803320|10420|US
6033155|WME|Mount Keith, WA, Australia (WME)|-27.283926|120.550575||AU
6033157|WMH|Mountain Home, AR, United States (WMH-Ozark Regional)|36.370330|-92.464470|6058406|US
6033161|WMN|Maroantsetra, Madagascar (WMN)|-15.435956|49.690534||MG
6033163|WMO|White Mountain, AK, United States (WMO)|64.685100|-163.407000||US
6033165|WMR|Mananara Nord, Madagascar (WMR)|-16.162572|49.770074||MG
6033167|WNA|Napakiak, AK, United States (WNA)|60.693700|-161.977000||US
6033169|WNN|Wunnummin Lake, ON, Canada (WNN)|52.893163|-89.291382||CA
6033171|WNR|Windorah, QLD, Australia (WNR)|-25.412423|142.664337||AU
6033173|WNZ|Wenzhou, China (WNZ)|27.914264|120.879393|3814|CN
6033175|WOL|Wollongong, NSW, Australia (WOL-Illawarra Regional)|-34.560011|150.789928|6049681|AU
6033177|XYT|Toulouse, France (XYT-Montaudran)|43.570960|1.477880|6034506|FR
6033179|WOT|Wangan, Taiwan (WOT)|23.368102|119.502068||TW
6033181|WOW|Willow, AK, United States (WOW)|61.758100|-150.062000||US
6033183|WPB|Port Berge, Madagascar (WPB)|-15.567194|47.660083||MG
6033185|WPM|Wipim, Papua New Guinea (WPM)|-8.788216|142.882175||PG
6033187|WRA|Warder, Ethiopia (WRA)|6.971024|45.332288||ET
6033189|WRE|Whangarei, New Zealand (WRE)|-35.767060|174.364743|3817|NZ
6033191|WRG|Wrangell, AK, United States (WRG)|56.485000|-132.380000|3818|US
6033193|WRL|Worland, WY, United States (WRL-Worland Municipal)|43.972866|-107.951510|3819|US
6033195|WSG|Washington, PA, United States (WSG-Washington County)|40.135330|-80.288380||US
6033197|WSL|Dallas, TX, United States (WSL-North Dallas Heliport)|32.975476|-96.831940||US
6033199|WSN|South Naknek, AK, United States (WSN)|58.704600|-157.007000||US
6033205|WST|Westerly, RI, United States (WST-Westerly State)|41.349910|-71.807730|602994|US
6033207|WSU|Wasu, Papua New Guinea (WSU)|-5.961998|147.198944||PG
6033209|WSX|Westsound, WA, United States (WSX)|48.629400|-122.956400||US
6033211|WSY|Airlie Beach, QLD, Australia (WSY-Whitsunday)|-20.277918|148.755333|6131603|AU
6033213|WSZ|Westport, New Zealand (WSZ)|-41.740834|171.579323|3825|NZ
6033215|WTA|Tambohorano, Madagascar (WTA)|-17.475654|43.943241||MG
6033217|WTE|Wotje, Marshall Islands (WTE)|9.460407|170.236931||MH
6033219|WTK|Noatak, AK, United States (WTK)|67.566500|-162.971000||US
6033221|WTL|Tuntutuliak, AK, United States (WTL)|60.350800|-162.659000||US
6033223|WTO|Wotho, Marshall Islands (WTO)|10.172853|166.002731||MH
6033225|WTP|Woitape, Papua New Guinea (WTP)|-8.545289|147.251987||PG
6033227|WTR|Whiteriver, AZ, United States (WTR)|33.815000|-109.985160||US
6033229|WTS|Tsiroanomandidy, Madagascar (WTS)|-18.763484|46.051229||MG
6033231|WUD|Wudinna, SA, Australia (WUD)|-33.044788|135.453529||AU
6033233|WUG|Wau, Papua New Guinea (WUG)|-7.346123|146.718807||PG
6033235|WUJ|Duchesne, UT, United States (WUJ-Duchesne Municipal)|40.192620|-110.385830||US
6033237|WUN|Wiluna, WA, Australia (WUN)|-26.628279|120.220470||AU
6033239|WUS|Wuyishan, China (WUS)|27.707543|118.000803|6084415|CN
6033241|WUV|Wuvulu Island, Papua New Guinea (WUV)|-1.733344|142.835484||PG
6033243|WUX|Wuxi, China (WUX-Shuofang)|31.492652|120.423031|10456|CN
6033245|WVB|Walvis Bay, Namibia (WVB-Rooikop)|-22.976943|14.643907|3322|NA
6033247|WVK|Manakara, Madagascar (WVK)|-22.120094|48.020381||MG
6033249|WVL|Waterville, ME, United States (WVL-Robert Lafleur)|44.533395|-69.680343|452|US
6033251|WVN|Wilhelmshaven, Germany (WVN-Mariensiel)|53.507630|8.051250|10462|DE
6033253|WWD|Cape May, NJ, United States (WWD-Cape May County)|39.005399|-74.908031|6056760|US
6033255|WWK|Wewak, Papua New Guinea (WWK-Boram)|-3.583325|143.671474|3840|PG
6033259|WWT|Newtok, AK, United States (WWT)|60.936800|-164.637000||US
6033261|WWY|West Wyalong, NSW, Australia (WWY)|-33.937094|147.191048||AU
6033263|WXN|Wanxian, China (WXN)|30.799580|108.428364||CN
6033265|WYA|Whyalla, SA, Australia (WYA)|-33.052271|137.522392||AU
6033267|WYN|Wyndham, WA, Australia (WYN)|-15.505792|128.152428||AU
6033269|WYS|West Yellowstone, MT, United States (WYS-Yellowstone)|44.695063|-111.107054|177831|US
6033271|WZY|Paradise Island, Bahamas (WZY-Paradise Island Seaplane Base)|25.077534|-77.293196||BS
6033273|XAL|Alamos, Sonora, Mexico (XAL)|27.036287|-108.945656|10491|MX
6033275|XAP|Chapeco, Brazil (XAP)|-27.131865|-52.660649|3847|BR
6033277|XBE|Bearskin Lake, ON, Canada (XBE)|53.962751|-91.031857||CA
6033281|XBN|Biniguni, Papua New Guinea (XBN)|-9.642385|149.304886||PG
6033283|XBR|Brockville, ON, Canada (XBR-Thousand Islands Regional Tackaberry)|44.636220|-75.751140||CA
6033285|XCM|Chatham, ON, Canada (XCM-Chatham-Kent)|42.312490|-82.077180||CA
6033289|XFN|Xiangfan, China (XFN)|32.150763|112.287312|3851|CN
6033291|XGA|Gaoua, Burkina Faso (XGA)|10.381554|-3.168348||BF
6033293|XGG|Gorom-Gorom, Burkina Faso (XGG)|14.450297|-.222853||BF
6033295|XGR|Kangiqsualujjuaq, PQ, Canada (XGR)|58.707145|-65.986836||CA
6033297|XIC|Xichang, China (XIC)|27.978864|102.187099|3855|CN
6033299|XKS|Kasabonika, ON, Canada (XKS)|53.528064|-88.638039||CA
6033301|XLB|Lac Brochet, MB, Canada (XLB)|58.619230|-101.469720||CA
6033303|XMC|Mallacoota, VIC, Australia (XMC)|-37.599680|149.724255||AU
6033305|XMG|Mahendranagar, Nepal (XMG)|28.959788|80.148354||NP
6033307|XMI|Masasi, Tanzania (XMI)|-10.739541|38.771447||TZ
6033309|XMN|Xiamen, China (XMN-Xiamen Intl.)|24.537071|118.126953|6084395|CN
6033311|XMS|Macas, Ecuador (XMS)|-2.299109|-78.120940||EC
6033313|XMY|Yam Island, QLD, Australia (XMY)|-9.901892|142.775745||AU
6033315|XNN|Xining, China (XNN)|36.525226|102.037754|3865|CN
6033317|XNT|Xingtai, China (XNT)|36.887653|114.423637|3866|CN
6033319|XPK|Pukatawagan, MB, Canada (XPK)|55.749817|-101.263906||CA
6033321|XPP|Poplar River, MB, Canada (XPP)|52.996195|-97.278359||CA
6033323|XPR|Pine Ridge, SD, United States (XPR)|43.026369|-102.518578||US
6033325|XQP|Quepos, Costa Rica (XQP)|9.438740|-84.133000|3868|CR
6033327|XQU|Qualicum Beach, BC, Canada (XQU)|49.340320|-124.396200|3908|CA
6033329|XRR|Ross River, YT, Canada (XRR)|61.973390|-132.426749||CA
6033331|XRY|Jerez de La Frontera, Spain (XRY)|36.750382|-6.064139|6046978|ES
6033333|XSC|Cockburn Harbour, Turks and Caicos (XSC-South Caicos)|21.514276|-71.537605||TC
6033335|XSI|South Indian Lake, MB, Canada (XSI)|56.794720|-98.908646||CA
6033337|XSP|Singapore, Singapore (XSP-Seletar)|1.418872|103.864500|3168|SG
6033339|XTG|Thargomindah, QLD, Australia (XTG)|-27.986974|143.816700||AU
6033341|XTL|Tadoule Lake, MB, Canada (XTL)|58.704937|-98.509784||CA
6033343|XUZ|Xuzhou, China (XUZ-Guanyin)|34.231887|117.237511|3876|CN
6033345|XYA|Yandina, Solomon Islands (XYA)|-9.095310|159.224000||SB
6033347|YAA|Anahim Lake, BC, Canada (YAA)|52.457220|-125.306690||CA
