RegionID|RegionType|RelativeSignificance|SubClass|RegionName|RegionNameLong|ParentRegionID|ParentRegionType|ParentRegionName|ParentRegionNameLong
6312020|City|||Seclantas|Seclantas, Argentina|6232476|Multi-Region (within a country)|Salta (province)|Salta (province), Argentina
6338927|City|||Molinos|Molinos, Argentina|6232476|Multi-Region (within a country)|Salta (province)|Salta (province), Argentina
6348204|City|||Angastaco|Angastaco, Argentina|6232476|Multi-Region (within a country)|Salta (province)|Salta (province), Argentina
6348205|City|||San Carlos|San Carlos, Argentina|6232476|Multi-Region (within a country)|Salta (province)|Salta (province), Argentina
6348368|City||tree|Quebrada de Cafayate|Quebrada de Cafayate, Cafayate, Argentina|6232476|Multi-Region (within a country)|Salta (province)|Salta (province), Argentina
6156969|City|||La Quiaca|La Quiaca, Argentina|6232492|Multi-Region (within a country)|Jujuy (province)|Jujuy (province), Argentina
6279731|City|||Palca de Aparzo|Palca de Aparzo, Argentina|6232492|Multi-Region (within a country)|Jujuy (province)|Jujuy (province), Argentina
6348241|City|||Javi|Javi, Argentina|6232492|Multi-Region (within a country)|Jujuy (province)|Jujuy (province), Argentina
6348244|City|||Palma Sola|Palma Sola, Argentina|6232492|Multi-Region (within a country)|Jujuy (province)|Jujuy (province), Argentina
925|City|||Catamarca|Catamarca, Argentina|6232516|Multi-Region (within a country)|Catamarca (province)|Catamarca (province), Argentina
6201664|City|||Belen|Belen, Argentina|6232516|Multi-Region (within a country)|Catamarca (province)|Catamarca (province), Argentina
6348211|City|||Santa Maria|Santa Maria, Argentina|6232516|Multi-Region (within a country)|Catamarca (province)|Catamarca (province), Argentina
6348227|City|||Fiambala|Fiambala, Argentina|6232516|Multi-Region (within a country)|Catamarca (province)|Catamarca (province), Argentina
6348230|City||neighbor|Coneta|Coneta, Catamarca, Argentina|6232516|Multi-Region (within a country)|Catamarca (province)|Catamarca (province), Argentina
6348231|City|||Antofagasta de la Sierra|Antofagasta de la Sierra, Argentina|6232516|Multi-Region (within a country)|Catamarca (province)|Catamarca (province), Argentina
6348234|City|||Tinogasta|Tinogasta, Argentina|6232516|Multi-Region (within a country)|Catamarca (province)|Catamarca (province), Argentina
6348236|City||neighbor|Copacabana|Copacabana, Tinogasta, Argentina|6232516|Multi-Region (within a country)|Catamarca (province)|Catamarca (province), Argentina
6348238|City||neighbor|La Puntilla|La Puntilla, Tinogasta, Argentina|6232516|Multi-Region (within a country)|Catamarca (province)|Catamarca (province), Argentina
6348667|City|||Londres|Londres, Argentina|6232516|Multi-Region (within a country)|Catamarca (province)|Catamarca (province), Argentina
1629|City|||La Rioja|La Rioja, Argentina|6232522|Multi-Region (within a country)|La Rioja (province)|La Rioja (province), Argentina
6301107|City|||Chilecito|Chilecito, Argentina|6232522|Multi-Region (within a country)|La Rioja (province)|La Rioja (province), Argentina
6348247|City|||Aimogasta|Aimogasta, Argentina|6232522|Multi-Region (within a country)|La Rioja (province)|La Rioja (province), Argentina
6348249|City||neighbor|Cochangasta|Cochangasta, La Rioja, Argentina|6232522|Multi-Region (within a country)|La Rioja (province)|La Rioja (province), Argentina
3599|City|||San Juan|San Juan, Argentina|6232539|Multi-Region (within a country)|San Juan (province)|San Juan (province), Argentina
6156157|City|||San Agustin de Valle Fertil|San Agustin de Valle Fertil, Argentina|6232539|Multi-Region (within a country)|San Juan (province)|San Juan (province), Argentina
6267384|City|||Barreal|Barreal, Argentina|6232539|Multi-Region (within a country)|San Juan (province)|San Juan (province), Argentina
6046685|City|||Villa Mercedes|Villa Mercedes, Argentina|6232547|Multi-Region (within a country)|San Luis (province)|San Luis (province), Argentina
6054174|City|||Merlo|Merlo, Argentina|6232547|Multi-Region (within a country)|San Luis (province)|San Luis (province), Argentina
303|City|||San Rafael|San Rafael, Argentina|6232605|Multi-Region (within a country)|Mendoza (province)|Mendoza (province), Argentina
2066|City|||Malargue|Malargue, Argentina|6232605|Multi-Region (within a country)|Mendoza (province)|Mendoza (province), Argentina
6144965|City|||San Alberto|San Alberto, Argentina|6232605|Multi-Region (within a country)|Mendoza (province)|Mendoza (province), Argentina
6307716|City||neighbor|Los Molles|Los Molles, Malargue, Argentina|6232605|Multi-Region (within a country)|Mendoza (province)|Mendoza (province), Argentina
6096829|City||tree|El Rey National Park|El Rey National Park, General Guemes, Argentina|3199|Multi-City (Vicinity)|Salta (and vicinity)|Salta (and vicinity), Argentina
6126539|City|||Chicoana|Chicoana, Argentina|3199|Multi-City (Vicinity)|Salta (and vicinity)|Salta (and vicinity), Argentina
6141109|City|||Rosario de Lerma|Rosario de Lerma, Argentina|3199|Multi-City (Vicinity)|Salta (and vicinity)|Salta (and vicinity), Argentina
6142131|City|||Villa San Lorenzo|Villa San Lorenzo, Argentina|3199|Multi-City (Vicinity)|Salta (and vicinity)|Salta (and vicinity), Argentina
6142134|City|||Salta|Salta, Argentina|3199|Multi-City (Vicinity)|Salta (and vicinity)|Salta (and vicinity), Argentina
6143161|City|||Coronel Moldes|Coronel Moldes, Argentina|3199|Multi-City (Vicinity)|Salta (and vicinity)|Salta (and vicinity), Argentina
6190519|City|||General Guemes|General Guemes, Argentina|3199|Multi-City (Vicinity)|Salta (and vicinity)|Salta (and vicinity), Argentina
6279742|City|||La Merced|La Merced, Argentina|3199|Multi-City (Vicinity)|Salta (and vicinity)|Salta (and vicinity), Argentina
6279779|City|||El Carril|El Carril, Argentina|3199|Multi-City (Vicinity)|Salta (and vicinity)|Salta (and vicinity), Argentina
6311845|City|||Campo Quijano|Campo Quijano, Argentina|3199|Multi-City (Vicinity)|Salta (and vicinity)|Salta (and vicinity), Argentina
6311847|City|||Cerrillos|Cerrillos, Argentina|3199|Multi-City (Vicinity)|Salta (and vicinity)|Salta (and vicinity), Argentina
6311914|City|||El Encon|El Encon, Argentina|3199|Multi-City (Vicinity)|Salta (and vicinity)|Salta (and vicinity), Argentina
6311915|City|||La Caldera|La Caldera, Argentina|3199|Multi-City (Vicinity)|Salta (and vicinity)|Salta (and vicinity), Argentina
6312040|City|||Vaqueros|Vaqueros, Argentina|3199|Multi-City (Vicinity)|Salta (and vicinity)|Salta (and vicinity), Argentina
6348183|City|||La Silleta|La Silleta, Argentina|3199|Multi-City (Vicinity)|Salta (and vicinity)|Salta (and vicinity), Argentina
6348184|City|||Osma|Osma, Argentina|3199|Multi-City (Vicinity)|Salta (and vicinity)|Salta (and vicinity), Argentina
6348389|City||tree|Valle de Lerma|Valle de Lerma, Salta, Argentina|3199|Multi-City (Vicinity)|Salta (and vicinity)|Salta (and vicinity), Argentina
2982|City|||Rio Grande|Rio Grande, Argentina|6208785|Multi-Region (within a country)|Tierra del Fuego (province)|Tierra del Fuego (province), Argentina
3654|City|||Ushuaia|Ushuaia, Argentina|6208785|Multi-Region (within a country)|Tierra del Fuego (province)|Tierra del Fuego (province), Argentina
6297392|City|||Tolhuin|Tolhuin, Argentina|6208785|Multi-Region (within a country)|Tierra del Fuego (province)|Tierra del Fuego (province), Argentina
6302975|City||neighbor|Almanza Port|Almanza Port, Ushuaia, Argentina|6208785|Multi-Region (within a country)|Tierra del Fuego (province)|Tierra del Fuego (province), Argentina
